cell_id,label,NDVI_mean,NDVI_std,NDVI_min,NDVI_max,EVI_mean,EVI_std,EVI_min,EVI_max,SAVI_mean,SAVI_std,SAVI_min,SAVI_max,GNDVI_mean,GNDVI_std,GNDVI_min,GNDVI_max,CIgreen_mean,CIgreen_std,CIgreen_min,CIgreen_max,MCARI_mean,MCARI_std,MCARI_min,MCARI_max,NDWI_mean,NDWI_std,NDWI_min,NDWI_max,MSI_mean,MSI_std,MSI_min,MSI_max,ARI_mean,ARI_std,ARI_min,ARI_max,SIPI_mean,SIPI_std,SIPI_min,SIPI_max,NDBI_mean,NDBI_std,NDBI_min,NDBI_max,temperature,humidity,pressure,windSpeed,precipitation
cell_1_1,0,3.5054234896320646,4.1906555623031,0.0,22.105263150436823,-23.75080893790693,438.5277782013407,-32716.00654320131,4427.2971776406175,5.257791622315665,6.285352814276844,0.0,33.152302232028234,3.520828340593844,4.135121327173547,0.0,22.01209676679701,-0.010084294747203609,0.12521646012178866,-0.6793960924097993,1.4268227774276685,27101.23012041658,25809.48686368742,-14028.390002072038,65476.21458022774,2.541509370939129,3.6870392354544816,0.0,21.93672580450729,0.9961297459539791,0.06094845855269813,0.49653579667118247,1.6399999996095236,-1.4496042542587254e-06,1.4203641634613179e-05,-0.0001990724242859751,0.00011136025879706328,457749619.3277489,5442864220.812384,0.0,65528000000.0,2.3193241455749316,4.011402633406924,0.0,22.050824630746945,28,50,1005,2,0
cell_1_10,0,5.130731199548734,7.362428045698761,0.0,20.098159503037376,-53.494697839991545,80.0643928173856,-540.6435661407378,-0.0,7.695174800158545,11.042301627802086,0.0,30.14261615392038,8.446550920765114,8.721059009288371,0.0,25.68600547797491,-0.001439380461430682,0.014141808760104362,-0.17445328072840294,0.08100289243924652,14741.786891379703,29098.36825613477,-13574.582162419667,65500.66113927474,7.374161036781739,8.617474820664665,0.0,25.754716971008367,0.9990270414303594,0.010520726507760501,0.8855769226511649,1.0608743768340485,-4.7677128235604087e-07,5.209965107602022e-06,-6.435129631961921e-05,2.307540395664906e-05,12352066593.02015,25625290119.136013,0.0,65535000000.0,8.349049785910372,8.73808863183423,0.0,25.76838378852993,28,50,1005,2,0
cell_1_100,2,9.699709705168173,9.62291985640865,0.0,29.24642855837213,-7.817340361790742,3156.028907974835,-14890.22862638442,163652.33634766366,14.547424646292228,14.431919571555836,0.0,43.85985269187242,10.022531482517895,9.616962436151212,0.0,28.820422522526226,-0.011546850856361663,0.08866496675587753,-0.5278688525557647,0.6407464995017522,28227.945376348198,26826.3337419734,-14889.413565668667,65494.01957970936,7.231982114780558,9.460092384620514,0.0,28.923178795177407,1.0003694422492098,0.05223301816188706,0.6271975179350575,1.4421052627241788,-1.807186517728187e-06,2.057615260083623e-05,-0.00015619036230514742,0.00017742646890787635,475130337.0473635,5555798146.410194,0.0,65535000000.0,5.819660883712931,9.182487657721193,0.0,29.366651712520554,28,50,1005,2,0
cell_1_101,0,4.729307093443964,7.776246335173431,0.0,28.246551711962695,-88.83514060004721,4209.310635313849,-325560.6511213022,13649.582195868152,7.09301056664428,11.662492460628293,0.0,42.36069810714903,6.930728182280215,8.179920195740488,0.0,28.14604809787541,-0.016205604832369377,0.1394226520102386,-0.6562718991492166,1.1910828011521764,15353.525138203324,27547.277545821475,-14683.02843548174,65527.19295037231,6.304248822277936,8.521696182691844,0.0,27.922880260791274,0.9846770882242365,0.09472678538980187,0.47119341553013405,1.553173241186461,-5.175407673574223e-06,3.486703941498151e-05,-0.00022227076510570232,0.0002718083747670563,12201910057.343105,25396342939.849163,0.0,65535000000.0,7.3612757403456905,8.37122648209762,0.0,28.415437975535372,28,50,1005,2,0
cell_1_102,1,3.8626887380871704,6.321863817773079,0.0,25.34184067078815,-15.170715993877877,458.45457643191395,-6531.200261248011,27272.07878798687,5.7934033125249975,9.481512901775334,0.0,38.00541270519799,5.708789833995429,6.671249240252831,0.0,25.370112262729343,-0.01531047717220582,0.1368275961505706,-0.5451961342964196,1.2985151037898026,16082.752497641053,28053.725135000765,-14601.1920933756,65504.25034693252,4.491655503845129,6.68457465886587,0.0,25.27237653345973,0.9911083753026704,0.07992100088056289,0.6315345698500138,1.4685534585422353,-4.377210374294028e-06,3.1483384140140856e-05,-0.00019536792794733464,0.00034937888162439476,13453422532.372383,26319154063.46994,0.0,65535000000.0,6.030107889868463,6.962055637086246,0.0,25.609851436430866,28,50,1005,2,0
cell_1_103,2,0.8578190889431988,3.5880670037003215,0.0,21.819180811915025,23869.783439777468,1860657.3081240996,-23377.8604825515,145000000.0,1.286489088353205,5.381410395781362,0.0,32.72332277918318,0.808412347883843,3.5065589005475024,0.0,21.645076000778232,4029972.751974582,103734670.39135307,-1.0,3803999999.0,8621700979.549028,255623295116.74728,-13349.480492477198,11576332800000.0,11.603567956266225,840.9605216206526,0.0,65534.93446506554,0.3752370221307695,21.071206010146415,0.0,1641.9983580016421,-5.672973735119878e-08,4.673885286748985e-06,-7.471980065973025e-05,5.328218238311619e-05,21619954.520815715,1188917248.2366564,0.0,65526000000.0,0.5086785668989529,2.920586621619877,0.0,21.78908848243876,28,50,1005,2,0
cell_1_104,0,4.222752531186739,6.925005680128191,0.0,21.865153530752618,-30.18784444074929,1123.9265260455802,-20452.50255656282,54608.31513056162,6.333374543635382,10.386173017724058,0.0,32.7922576229627,6.046919731432848,7.314461623584743,0.0,23.942982447389262,0.011188893783017146,0.07879860439096076,-0.4488957371728568,0.6724791502378775,13136.01096819658,26966.300740729956,-13910.149992755129,65500.632349541425,7.659445091147709,7.531037974005648,0.0,24.450746259533304,1.0043897250722262,0.059365190282999636,0.6757664843864903,1.471808926596786,1.8687355257321768e-06,2.0938894591366373e-05,-0.00018088468286915442,0.00013961145524233644,9849816346.049488,23355694438.02317,0.0,65535000000.0,6.926671113994791,7.529693291259885,0.0,24.66716866541146,28,50,1005,2,0
cell_1_105,2,4.316149174194771,6.458042420511161,0.0,21.268094767520903,329830.5698328353,25715697.58639961,-32756.00655120131,2005000000.0,6.4735317980742035,9.68594139650322,0.0,31.896965753075786,6.116196729780691,6.686630107001306,0.0,22.71577122262885,-0.001661962268097325,0.07987679808335743,-0.40595171268782937,0.9160621751730247,14906.376152903238,27889.285015162855,-13917.70821665884,65501.38425468759,6.486047634170834,6.9735336114568485,0.0,22.75824938424514,0.9997549407043624,0.05265109848140602,0.7100917429021126,1.390234219376644,-7.101328888931892e-07,1.9923543393893998e-05,-0.00015254113864744407,9.985539282252666e-05,11123281406.868986,24542569459.479267,0.0,65535000000.0,6.426589129240573,6.8030337848219045,0.0,22.78442280153532,28,50,1005,2,0
cell_1_106,0,6.192120336977733,6.461739538909079,0.0,22.174678394659892,-55.354220111240046,469.28637117230096,-27294.1712156952,11694.284878979652,9.287262193077636,9.691470939060673,0.0,33.25638854856781,6.277696236485243,6.4722067231170435,0.0,22.174678394659892,-0.01037076236613385,0.06753894996388259,-0.357949959774425,0.5013239184683751,28675.439087458722,27252.691116283386,-13917.583716434889,65493.025263033094,4.743547075722107,6.283717966029594,0.0,19.668868201840628,0.996817029186279,0.029716112888454105,0.77040816308664,1.2448057808289044,-1.4360841076314408e-06,1.0170693476646876e-05,-0.00010202071363203847,8.565678481864164e-05,603733658.7520077,6248629034.028856,0.0,65534000000.0,4.239445942061131,6.241922915713156,0.0,19.741187098601632,28,50,1005,2,0
cell_1_107,0,4.452980936365681,6.659874018009143,0.0,19.45441044863249,-20.569029733498965,2152.810976478903,-14889.09226264475,163379.8366201634,6.67873607504892,9.98862887759553,0.0,29.17728284211514,6.6227930050317365,6.940164994253825,0.0,19.45441044863249,0.0018435024014831765,0.06466427608771544,-0.37577753407399284,0.4732476144864175,14875.952759712074,28613.952344945934,-13769.95398245017,65500.52444272985,6.187401369863775,6.890799616020836,0.0,19.858787872770066,1.0041665160968194,0.04801793747746564,0.7060032891833868,1.5218312837974433,-3.825260506240028e-07,1.8505466291294927e-05,-0.0002241948123131859,0.00017171165640693007,11850248876.969307,25176594347.09422,0.0,65535000000.0,6.13261825721971,6.872885392628958,0.0,21.205244408803743,28,50,1005,2,0
